Rank,Currency_Name,Market_Capital,Price,Circulating_Supply,Volume(24h),Change(24h)
1,Bitcoin,60219183594.00,3631.72,16581450.00,1226800000.00,-0.0084
2,Ethereum,25061275598.00,264.44,94772198.00,462576000.00,0.0132
3,Bitcoin Cash,6815417939.00,410.47,16603775.00,260857000.00,-0.0322
4,Ripple,6646329833.00,0.17,38343841883.00,41945000.00,-0.0042
5,Dash,2607960913.00,344.36,7573378.00,97142300.00,0.0362
6,Litecoin,2562271606.00,48.30,53051957.00,212827000.00,0.0274
7,NEM,1880775000.00,0.21,8999999999.00,2941490.00,-0.0153
8,IOTA,1400024388.00,0.50,2779530283.00,9257370.00,0.0135
9,Monero,1318572158.00,87.29,15104906.00,28416400.00,0.0051
10,Ethereum Classic,980752344.00,10.24,95768179.00,33193100.00,-0.0023
11,NEO,953330000.00,19.07,50000000.00,22268200.00,0.1014
12,BitConnect,742161368.00,109.80,6759457.00,6876050.00,0.0024
13,Lisk,660697505.00,5.87,112588315.00,11626600.00,0.0826
14,Zcash,449832166.00,200.73,2240981.00,42222900.00,0.1284
15,Stratis,389138472.00,3.95,98553494.00,4242060.00,-0.0274
16,Waves,377436000.00,3.77,100000000.00,2874770.00,0.0265
17,Ark,273223160.00,2.80,97727338.00,3300420.00,-0.0087
18,Steem,244833707.00,1.01,242251308.00,585571.00,0.0143
19,Bytecoin,206169389.00,0.00,183253534612.00,990913.00,-0.0121
20,Decred,187452105.00,32.28,5806815.00,1564150.00,-0.0086
21,BitShares,181015326.00,0.07,2599260000.00,13569800.00,-0.025
22,Stellar Lumens,178986094.00,0.01,16587223471.00,1879370.00,-0.0069
23,Hshare,166544448.00,4.96,33600000.00,6192230.00,-0.0261
24,Komodo,164652221.00,1.63,100945510.00,721260.00,0.0099
25,PIVX,155221542.00,2.86,54342049.00,486072.00,0.0146
26,Factom,137200156.00,15.69,8745102.00,1497780.00,0.0369
27,Byteball Bytes,123838607.00,212.09,583896.00,148709.00,-0.0115
28,Nexus,114368857.00,2.17,52592813.00,1602630.00,-0.1895
29,Siacoin,114053002.00,0.00,29555679372.00,2142570.00,-0.0291
30,DigiByte,109587646.00,0.01,8742253657.00,1957170.00,-0.0115
31,BitcoinDark,105257379.00,81.67,1288862.00,254990.00,0.0329
32,GameCredits,95689716.00,1.49,64254060.00,624470.00,-0.0427
33,GXShares,88573495.00,2.19,40510000.00,9092.00,0.1078
34,Lykke,86893637.00,0.32,268135619.00,93098.00,0.0171
35,Dogecoin,84305613.00,0.00,111186000000.00,3480610.00,-0.0029
36,Blocknet,83012539.00,19.65,4224449.00,185903.00,-0.0371
37,Syscoin,75311596.00,0.14,527680360.00,1073870.00,-0.013
38,Verge,71456664.00,0.01,13409472280.00,1688240.00,-0.0309
39,FirstCoin,62294317.00,7.17,8682958.00,955802.00,0.0314
40,Nxt,58863274.00,0.06,998999942.00,2557440.00,-0.0072
41,I-O Coin,55776049.00,3.41,16367556.00,479574.00,-0.0604
42,Ubiq,53128777.00,1.40,38006679.00,603228.00,-0.0292
43,Particl,53125035.00,6.89,7712615.00,166934.00,-0.0044
44,NAV Coin,50847062.00,0.82,61803005.00,707893.00,0.0672
45,Rise,49052971.00,0.43,113139200.00,1312090.00,0.0081
46,Vertcoin,42079535.00,1.06,39682700.00,6746940.00,-0.1213
47,Bitdeal,38448620.00,0.32,119876595.00,311092.00,-0.0839
48,FairCoin,38238279.00,0.72,53193831.00,69622.00,0.036
49,Metaverse ETP,38149930.00,1.69,22600000.00,2638610.00,0.1397
50,Gulden,38129124.00,0.11,353145545.00,104792.00,-0.0058
51,ZCoin,36413644.00,11.94,3050102.00,7212140.00,0.1227
52,CloakCoin,33893251.00,6.64,5100672.00,478291.00,0.0714
53,NoLimitCoin,33711614.00,0.17,203672173.00,50887.00,-0.0147
54,Elastic,33182138.00,0.38,86652367.00,535066.00,-0.0073
55,Peercoin,31185065.00,1.28,24349826.00,239680.00,0.0406
56,Aidos Kuneen,29522780.00,3.32,8900500.00,19187.00,-0.0074
57,ReddCoin,26976964.00,0.00,28621316118.00,2616170.00,0.0334
58,LEOcoin,26585531.00,0.29,90555726.00,207026.00,-0.0747
59,Counterparty,25010000.00,9.55,2617796.00,118666.00,0.0152
60,MonaCoin,24507300.00,0.45,54118875.00,52056.00,-0.0083
61,DECENT,24255415.00,0.47,51306089.00,220511.00,-0.0187
62,The ChampCoin,23288007.00,0.14,164925727.00,128438.00,-0.0104
63,Viacoin,23186663.00,1.02,22832080.00,856231.00,-0.1161
64,Emercoin,22686762.00,0.56,40779545.00,134722.00,-0.0216
65,Crown,21689002.00,1.41,15337130.00,123920.00,-0.1231
66,Sprouts,20620960.00,0.00,584582141215.00,9854.00,0.7752
67,ION,20409426.00,1.24,16400095.00,33412.00,0.01
68,Namecoin,20299538.00,1.38,14736400.00,137457.00,0.1074
69,Clams,19830748.00,7.54,2628337.00,851718.00,0.0826
70,BitBay,19727228.00,0.02,1007740618.00,85094.00,-0.0069
71,OKCash,18962711.00,0.26,72634863.00,2215460.00,-0.1411
